epoch,train_loss,val_mAP,val_AP50,val_AP75,P50,R50,A50,P5095,R5095,A5095,time_min,best_mAP_so_far
52,0.138095,0.173066,0.513886,0.074383,0.238329,0.697842,0.216036,0.1,0.292806,0.085499,0.85,0.207036
53,0.134325,0.146899,0.415338,0.090944,0.141985,0.669065,0.132668,0.061069,0.28777,0.055043,0.88,0.207036
54,0.129255,0.163249,0.485975,0.076654,0.305842,0.640288,0.260997,0.127835,0.267626,0.101883,0.869,0.207036
55,0.143998,0.169783,0.467255,0.095903,0.267241,0.669065,0.236041,0.121839,0.305036,0.101332,0.854,0.207036
56,0.129636,0.169624,0.483656,0.084378,0.303448,0.633094,0.258065,0.129655,0.270504,0.102658,0.841,0.207036
57,0.126771,0.163207,0.470833,0.097617,0.244681,0.661871,0.217494,0.103989,0.281295,0.087174,0.871,0.207036
58,0.133643,0.171284,0.496589,0.103044,0.164129,0.697842,0.153239,0.072758,0.309353,0.065219,0.878,0.207036
59,0.132044,0.163402,0.49922,0.060688,0.257618,0.669065,0.228501,0.109141,0.283453,0.091406,0.83,0.207036
60,0.127264,0.16792,0.513648,0.072947,0.303754,0.640288,0.259475,0.127645,0.269065,0.101301,0.885,0.207036
61,0.122373,0.180543,0.481024,0.092485,0.299652,0.618705,0.252941,0.139373,0.28777,0.110729,0.848,0.207036
62,0.130671,0.171695,0.482517,0.088054,0.242188,0.669065,0.216279,0.10651,0.294245,0.090241,0.889,0.207036
63,0.118868,0.176664,0.49768,0.096403,0.260163,0.690647,0.23301,0.114092,0.302878,0.096088,0.853,0.207036
64,0.120454,0.192168,0.50167,0.103593,0.359504,0.625899,0.295918,0.161983,0.282014,0.123805,0.837,0.207036
65,0.135274,0.18688,0.478956,0.12117,0.240741,0.654676,0.213615,0.107937,0.293525,0.090714,0.843,0.207036
66,0.112777,0.187314,0.478607,0.099839,0.38565,0.618705,0.311594,0.168161,0.269784,0.126151,0.843,0.207036
67,0.120728,0.167231,0.465135,0.105764,0.318681,0.625899,0.267692,0.142125,0.279137,0.111338,0.847,0.207036
68,0.115622,0.162387,0.446226,0.077913,0.258721,0.640288,0.225888,0.110756,0.274101,0.090927,0.847,0.207036
69,0.113184,0.16017,0.47279,0.056013,0.345238,0.625899,0.286184,0.144048,0.261151,0.110829,0.874,0.207036
70,0.113457,0.212435,0.543911,0.122173,0.313291,0.71223,0.27809,0.139873,0.317986,0.115305,0.895,0.212435
71,0.119314,0.188406,0.500493,0.141399,0.315603,0.640288,0.268072,0.138298,0.280576,0.109194,1.07,0.212435
72,0.117988,0.181388,0.482817,0.082502,0.218391,0.683453,0.19833,0.097931,0.306475,0.084653,0.854,0.212435
73,0.114491,0.184344,0.481511,0.122788,0.287066,0.654676,0.249315,0.131546,0.3,0.106954,0.852,0.212435
74,0.112993,0.171279,0.456563,0.097976,0.284768,0.618705,0.242254,0.12947,0.281295,0.10322,0.877,0.212435
75,0.125028,0.164098,0.44926,0.091499,0.345679,0.604317,0.281879,0.15679,0.274101,0.118749,0.843,0.212435
76,0.113363,0.163501,0.457292,0.078865,0.419192,0.597122,0.326772,0.185354,0.264029,0.132539,0.864,0.212435
77,0.123754,0.177239,0.463384,0.107953,0.295918,0.625899,0.251445,0.137755,0.291367,0.110364,0.85,0.212435
78,0.108227,0.185006,0.503376,0.105381,0.328467,0.647482,0.278638,0.14927,0.294245,0.11795,0.851,0.212435
79,0.112984,0.176622,0.463384,0.067008,0.318352,0.611511,0.264798,0.142322,0.273381,0.1116,0.892,0.212435
80,0.113644,0.166911,0.446818,0.11951,0.346491,0.568345,0.274306,0.160526,0.263309,0.118182,0.844,0.212435
81,0.103934,0.190913,0.483318,0.103413,0.38326,0.625899,0.311828,0.177533,0.289928,0.134004,0.894,0.212435
82,0.100302,0.171416,0.449361,0.089605,0.321839,0.604317,0.265823,0.14751,0.276978,0.114086,0.842,0.212435
83,0.105247,0.172608,0.437651,0.095997,0.241573,0.618705,0.210269,0.117416,0.300719,0.096918,0.846,0.212435
84,0.108122,0.183282,0.490378,0.10586,0.340824,0.654676,0.288889,0.151685,0.291367,0.119168,0.871,0.212435
85,0.102205,0.1694,0.451509,0.120062,0.38009,0.604317,0.304348,0.173756,0.276259,0.12885,0.847,0.212435
86,0.115292,0.176248,0.482483,0.079767,0.327273,0.647482,0.277778,0.144727,0.286331,0.114285,0.851,0.212435
87,0.108242,0.186559,0.470615,0.126618,0.310219,0.611511,0.259146,0.143796,0.283453,0.112364,0.852,0.212435
88,0.103105,0.194538,0.491694,0.119948,0.312281,0.640288,0.265672,0.144561,0.296403,0.11486,0.848,0.212435
89,0.10285,0.186799,0.486506,0.097665,0.399103,0.640288,0.326007,0.183408,0.294245,0.138717,0.858,0.212435
90,0.102798,0.166804,0.431939,0.092718,0.404255,0.546763,0.302789,0.18617,0.251799,0.128661,0.844,0.212435
91,0.110541,0.18264,0.457132,0.123793,0.365297,0.57554,0.28777,0.166667,0.26259,0.122036,0.874,0.212435
92,0.111957,0.180909,0.477213,0.106097,0.369369,0.589928,0.293907,0.167568,0.267626,0.123613,0.837,0.212435
93,0.106763,0.172023,0.490491,0.091132,0.358268,0.654676,0.301325,0.15,0.274101,0.116493,0.873,0.212435
94,0.104178,0.181521,0.505881,0.112115,0.283988,0.676259,0.25,0.123263,0.293525,0.101969,0.853,0.212435
95,0.098829,0.178997,0.473501,0.108628,0.338521,0.625899,0.281553,0.148638,0.27482,0.114979,0.852,0.212435
96,0.102461,0.183034,0.474229,0.112781,0.370536,0.597122,0.296429,0.172768,0.278417,0.128454,0.864,0.212435
97,0.095104,0.190733,0.475704,0.107536,0.263768,0.654676,0.231552,0.12058,0.299281,0.099934,0.84,0.212435
98,0.102933,0.191105,0.450293,0.113885,0.234807,0.611511,0.204327,0.11105,0.289209,0.092605,0.858,0.212435
99,0.105868,0.197273,0.501946,0.117322,0.303448,0.633094,0.258065,0.137931,0.28777,0.110302,0.873,0.212435
100,0.103735,0.186065,0.500371,0.08149,0.333333,0.625899,0.277955,0.150575,0.282734,0.117007,0.841,0.212435
