epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4772.76,1.55072,1.31974,1.43508,0.78256,0.69898,0.78846,0.43095,1.51037,1.22026,1.51125,0.0014588,0.0014588,0.0014588
43,4881.81,1.54359,1.30283,1.44391,0.75085,0.6922,0.76366,0.3959,1.56407,1.30243,1.54633,0.0014456,0.0014456,0.0014456
44,4990.83,1.53766,1.27439,1.43885,0.78805,0.72849,0.79987,0.44957,1.44455,1.27319,1.46186,0.0014324,0.0014324,0.0014324
45,5099.88,1.54258,1.26358,1.43777,0.78841,0.71322,0.79771,0.443,1.4792,1.16285,1.49829,0.0014192,0.0014192,0.0014192
46,5208.65,1.50389,1.20995,1.40903,0.79152,0.67181,0.77894,0.42185,1.489,1.24324,1.50459,0.001406,0.001406,0.001406
47,5317.26,1.48199,1.19654,1.39283,0.82496,0.74447,0.82787,0.45773,1.44231,1.18702,1.4653,0.0013928,0.0013928,0.0013928
48,5426.26,1.50149,1.20078,1.40563,0.81845,0.75458,0.83043,0.46358,1.46692,1.17849,1.47977,0.0013796,0.0013796,0.0013796
49,5535.23,1.47578,1.16505,1.39572,0.82632,0.73559,0.83506,0.47888,1.44522,1.14272,1.48027,0.0013664,0.0013664,0.0013664
50,5644.25,1.46338,1.15815,1.38808,0.8309,0.73291,0.83962,0.47699,1.43671,1.1353,1.46234,0.0013532,0.0013532,0.0013532
51,813.571,1.57986,1.31274,1.58302,0.81429,0.70158,0.80662,0.4431,1.47959,1.22676,1.50173,0.00134,0.00134,0.00134
52,923.04,1.48981,1.21951,1.41863,0.81508,0.71797,0.80963,0.46538,1.40495,1.15425,1.44361,0.0013268,0.0013268,0.0013268
53,1031.85,1.46997,1.17693,1.39721,0.82759,0.75593,0.83134,0.46059,1.47694,1.14067,1.4943,0.0013136,0.0013136,0.0013136
54,1140.51,1.47972,1.18914,1.39761,0.83709,0.74102,0.83483,0.44945,1.468,1.08314,1.47114,0.0013004,0.0013004,0.0013004
55,1249.29,1.46444,1.15662,1.38071,0.85897,0.75564,0.84471,0.4893,1.40878,1.03885,1.44203,0.0012872,0.0012872,0.0012872
56,1360.76,1.41073,1.09883,1.3419,0.80169,0.75098,0.82254,0.4435,1.50945,1.13595,1.51281,0.001274,0.001274,0.001274
57,1469.6,1.4407,1.13619,1.37675,0.83127,0.75484,0.8374,0.48997,1.36036,1.05376,1.41528,0.0012608,0.0012608,0.0012608
58,1578.47,1.3984,1.07261,1.34641,0.87765,0.75867,0.85904,0.53474,1.3028,0.95574,1.38752,0.0012476,0.0012476,0.0012476
59,1687.43,1.38756,1.05452,1.3425,0.78378,0.65831,0.77062,0.42107,1.4923,1.29842,1.50242,0.0012344,0.0012344,0.0012344
60,1796.28,1.3874,1.06263,1.34825,0.85412,0.78198,0.86944,0.53535,1.31384,0.96775,1.38747,0.0012212,0.0012212,0.0012212
61,1905.21,1.35641,0.99276,1.32305,0.86459,0.8061,0.87932,0.53716,1.29754,0.92115,1.37638,0.001208,0.001208,0.001208
62,2014.25,1.34554,0.98099,1.31478,0.87816,0.80136,0.8781,0.55118,1.27206,0.91846,1.36449,0.0011948,0.0011948,0.0011948
63,2123.39,1.32434,0.99605,1.30446,0.89119,0.8,0.89153,0.55574,1.26575,0.8904,1.35104,0.0011816,0.0011816,0.0011816
64,2232.5,1.30531,0.95361,1.28972,0.88631,0.82453,0.90208,0.57477,1.24973,0.85834,1.34308,0.0011684,0.0011684,0.0011684
65,2341.55,1.31512,0.96358,1.29106,0.89191,0.82237,0.89405,0.56006,1.30666,0.88743,1.37741,0.0011552,0.0011552,0.0011552
66,2450.1,1.30434,0.95203,1.29189,0.91295,0.81898,0.90736,0.58033,1.22155,0.82116,1.31836,0.001142,0.001142,0.001142
67,2559.26,1.29356,0.94405,1.27666,0.89135,0.80542,0.89689,0.55232,1.32441,0.88741,1.38643,0.0011288,0.0011288,0.0011288
68,2668.15,1.3148,0.95296,1.30739,0.90158,0.81362,0.90023,0.55576,1.31854,0.88581,1.38971,0.0011156,0.0011156,0.0011156
69,2777.16,1.28986,0.95033,1.28629,0.8754,0.84784,0.9026,0.5761,1.25929,0.85667,1.33953,0.0011024,0.0011024,0.0011024
70,2886.02,1.28657,0.92066,1.28433,0.91966,0.82102,0.90804,0.58016,1.25109,0.83406,1.33305,0.0010892,0.0010892,0.0010892
71,2994.98,1.25784,0.92662,1.27268,0.8995,0.83742,0.90915,0.58948,1.20211,0.83146,1.31008,0.001076,0.001076,0.001076
72,3103.92,1.24529,0.90526,1.2613,0.92235,0.81333,0.90675,0.59344,1.19551,0.81616,1.30891,0.0010628,0.0010628,0.0010628
73,3213.04,1.22414,0.8594,1.2457,0.92351,0.84306,0.91669,0.61512,1.16561,0.78375,1.2736,0.0010496,0.0010496,0.0010496
74,3322.23,1.22714,0.87094,1.24327,0.91939,0.85057,0.91713,0.62045,1.14058,0.76852,1.47004,0.0010364,0.0010364,0.0010364
75,3431.23,1.19325,0.82733,1.21925,0.91511,0.85627,0.92156,0.61614,1.17788,0.75764,1.28201,0.0010232,0.0010232,0.0010232
76,3540.19,1.20159,0.87525,1.23036,0.90889,0.85221,0.91674,0.62145,1.14512,0.77596,1.26677,0.00101,0.00101,0.00101
77,3649.21,1.20567,0.83737,1.22707,0.93066,0.83797,0.91411,0.6181,1.13718,0.75059,1.25839,0.0009968,0.0009968,0.0009968
78,3757.99,1.16657,0.83808,1.21663,0.93518,0.85017,0.92775,0.63238,1.11471,0.7391,1.24903,0.0009836,0.0009836,0.0009836
79,3867.07,1.17845,0.83568,1.20814,0.94015,0.86262,0.92503,0.62523,1.1222,0.73534,1.26076,0.0009704,0.0009704,0.0009704
80,3975.99,1.15281,0.81498,1.19716,0.91974,0.84814,0.92444,0.6276,1.12622,0.75465,1.2579,0.0009572,0.0009572,0.0009572
81,4084.69,1.15018,0.81449,1.19735,0.93531,0.81365,0.91286,0.61665,1.15341,0.76317,1.28651,0.000944,0.000944,0.000944
