epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,11384,1.53687,1.05183,1.38961,0.84978,0.77407,0.85604,0.42395,1.69115,1.00729,1.61225,0.0011882,0.0011882,0.0011882
43,11654.8,1.53162,1.04936,1.38542,0.81606,0.78165,0.84715,0.45372,1.55159,0.99054,1.51798,0.0011684,0.0011684,0.0011684
44,11925.6,1.50034,0.99901,1.36094,0.83539,0.78052,0.84958,0.4639,1.52751,0.98675,1.49458,0.0011486,0.0011486,0.0011486
45,12196.6,1.47131,0.98169,1.34821,0.83494,0.8044,0.866,0.46587,1.56381,0.94474,1.52878,0.0011288,0.0011288,0.0011288
46,12467.7,1.45902,0.96323,1.34596,0.85227,0.78951,0.86162,0.45248,1.5904,0.96008,1.52521,0.001109,0.001109,0.001109
47,12738.8,1.45563,0.95804,1.33554,0.84629,0.80061,0.86983,0.47354,1.5289,0.91585,1.50103,0.0010892,0.0010892,0.0010892
48,13010.2,1.42602,0.91568,1.32731,0.87591,0.82146,0.89386,0.52939,1.3909,0.83366,1.42133,0.0010694,0.0010694,0.0010694
49,13281.4,1.40484,0.90712,1.31382,0.87595,0.79235,0.87193,0.48044,1.50487,0.92398,1.47363,0.0010496,0.0010496,0.0010496
50,13552.3,1.39475,0.90945,1.31352,0.85882,0.79555,0.86935,0.46396,1.54744,0.91743,1.5088,0.0010298,0.0010298,0.0010298
51,13823.4,1.38753,0.89537,1.29963,0.88366,0.81484,0.88874,0.52046,1.4145,0.85061,1.42935,0.00101,0.00101,0.00101
52,14094.5,1.37705,0.88801,1.29501,0.85632,0.80326,0.87269,0.45313,1.61865,0.92117,1.55704,0.0009902,0.0009902,0.0009902
53,14365.6,1.37383,0.87378,1.2917,0.88335,0.84117,0.90588,0.53498,1.4105,0.81303,1.41847,0.0009704,0.0009704,0.0009704
54,14636.7,1.35639,0.85218,1.2704,0.87381,0.8135,0.88483,0.47473,1.58532,0.86559,1.52898,0.0009506,0.0009506,0.0009506
55,14907.7,1.3334,0.84646,1.26777,0.87726,0.82362,0.88996,0.51764,1.45426,0.84473,1.4497,0.0009308,0.0009308,0.0009308
56,15178.8,1.32007,0.83029,1.25469,0.86967,0.8398,0.88986,0.50077,1.49079,0.83069,1.47849,0.000911,0.000911,0.000911
57,15449.8,1.30396,0.82015,1.25708,0.90312,0.83393,0.90544,0.56582,1.31229,0.76377,1.37163,0.0008912,0.0008912,0.0008912
58,15720.9,1.29479,0.80781,1.24426,0.87166,0.8136,0.87945,0.40728,1.8412,0.92138,1.71481,0.0008714,0.0008714,0.0008714
59,15991.9,1.28814,0.80982,1.24554,0.89763,0.83102,0.90754,0.5217,1.45602,0.81318,1.44092,0.0008516,0.0008516,0.0008516
60,16262.8,1.25937,0.78788,1.22433,0.88856,0.82904,0.8992,0.49094,1.56201,0.83347,1.51714,0.0008318,0.0008318,0.0008318
61,16533.8,1.25505,0.7804,1.22545,0.90471,0.84534,0.90762,0.56901,1.29583,0.74014,1.36054,0.000812,0.000812,0.000812
62,16804.8,1.24265,0.77132,1.21457,0.89827,0.84572,0.90264,0.54141,1.39091,0.77992,1.4071,0.0007922,0.0007922,0.0007922
63,17075.6,1.22801,0.76823,1.20552,0.90538,0.85216,0.91003,0.5219,1.47433,0.78178,1.45058,0.0007724,0.0007724,0.0007724
64,17346.5,1.23171,0.76377,1.21211,0.90639,0.85517,0.91316,0.53103,1.42624,0.77007,1.40757,0.0007526,0.0007526,0.0007526
65,17617.5,1.18955,0.73139,1.18358,0.92109,0.85254,0.90994,0.54945,1.38388,0.74978,1.39849,0.0007328,0.0007328,0.0007328
66,17888.5,1.19306,0.73172,1.19529,0.91397,0.85064,0.91056,0.55129,1.38031,0.75034,1.37956,0.000713,0.000713,0.000713
67,18159.5,1.17262,0.72269,1.17324,0.9079,0.85952,0.90891,0.52395,1.45561,0.76598,1.4448,0.0006932,0.0006932,0.0006932
68,18430.5,1.17649,0.7305,1.17717,0.93007,0.84799,0.91718,0.59486,1.24778,0.70626,1.32106,0.0006734,0.0006734,0.0006734
69,18701.6,1.15265,0.70956,1.16628,0.91886,0.85519,0.91217,0.52768,1.45465,0.74875,1.45248,0.0006536,0.0006536,0.0006536
70,18972.6,1.14737,0.7079,1.16116,0.91553,0.86088,0.91845,0.54058,1.4359,0.73902,1.43329,0.0006338,0.0006338,0.0006338
71,19243.7,1.14286,0.69818,1.15307,0.92643,0.86399,0.92096,0.58646,1.29291,0.70355,1.34743,0.000614,0.000614,0.000614
72,19514.8,1.12435,0.69396,1.15256,0.92448,0.86776,0.92289,0.60934,1.20646,0.67751,1.29935,0.0005942,0.0005942,0.0005942
73,19785.8,1.11036,0.67132,1.139,0.92099,0.87491,0.92247,0.56295,1.37471,0.70776,1.39786,0.0005744,0.0005744,0.0005744
74,20056.8,1.09481,0.66747,1.13606,0.9254,0.87718,0.92964,0.56534,1.36485,0.69256,1.39295,0.0005546,0.0005546,0.0005546
