epoch,train_loss,val_mAP,val_AP50,val_AP75,P50,R50,A50,P5095,R5095,A5095,time_min,best_mAP_so_far
52,0.183356,0.129774,0.445211,0.040194,0.326715,0.635088,0.275076,0.118412,0.230175,0.092845,2.145,0.172904
53,0.186139,0.137527,0.439893,0.050666,0.331502,0.635088,0.278462,0.122527,0.234737,0.095699,2.113,0.172904
54,0.174139,0.11223,0.386784,0.026591,0.319608,0.57193,0.257911,0.113922,0.20386,0.085418,2.134,0.172904
55,0.169807,0.131135,0.422546,0.046442,0.364224,0.592982,0.291379,0.137284,0.223509,0.101607,2.147,0.172904
56,0.171911,0.131652,0.45066,0.045959,0.268116,0.649123,0.234177,0.098841,0.239298,0.080831,2.153,0.172904
57,0.172896,0.130357,0.440919,0.046308,0.416076,0.617544,0.330827,0.153664,0.22807,0.111294,2.152,0.172904
58,0.167237,0.11612,0.394334,0.040765,0.267296,0.596491,0.226365,0.098742,0.220351,0.07852,2.181,0.172904
59,0.167506,0.131616,0.449601,0.048137,0.395143,0.62807,0.320215,0.141943,0.225614,0.10503,2.149,0.172904
60,0.160564,0.123719,0.402629,0.041874,0.405868,0.582456,0.314394,0.150122,0.215439,0.107129,2.139,0.172904
61,0.160721,0.128497,0.455476,0.034348,0.391204,0.592982,0.308394,0.138426,0.209825,0.100144,2.137,0.172904
62,0.154891,0.131703,0.444246,0.038474,0.380851,0.62807,0.310764,0.138936,0.229123,0.104213,2.141,0.172904
63,0.152566,0.122389,0.388778,0.046808,0.366292,0.57193,0.287478,0.135955,0.212281,0.098839,2.17,0.172904
64,0.157306,0.123936,0.416338,0.044884,0.35497,0.614035,0.290216,0.125963,0.217895,0.09496,2.203,0.172904
65,0.158313,0.122621,0.412867,0.043475,0.4125,0.578947,0.317308,0.14975,0.210175,0.106028,2.148,0.172904
66,0.159791,0.108515,0.360819,0.036675,0.358537,0.515789,0.268248,0.134634,0.193684,0.093691,2.152,0.172904
67,0.153583,0.122855,0.440069,0.02217,0.411622,0.596491,0.32197,0.148668,0.215439,0.106231,2.152,0.172904
68,0.148352,0.122242,0.404128,0.031931,0.449153,0.557895,0.33125,0.169492,0.210526,0.114146,2.183,0.172904
69,0.151972,0.121113,0.44585,0.019432,0.357588,0.603509,0.289562,0.128067,0.21614,0.095681,2.148,0.172904
70,0.151877,0.124412,0.436701,0.035768,0.386813,0.617544,0.312057,0.140879,0.224912,0.104218,2.113,0.172904
71,0.149719,0.108441,0.400035,0.025746,0.394673,0.57193,0.304673,0.140194,0.203158,0.099745,2.108,0.172904
72,0.156361,0.106959,0.358846,0.018317,0.374372,0.522807,0.279026,0.138945,0.194035,0.096163,2.144,0.172904
73,0.151607,0.119407,0.406861,0.057815,0.374723,0.592982,0.29806,0.135033,0.213684,0.098267,2.128,0.172904
74,0.152059,0.120845,0.407084,0.053132,0.325411,0.624561,0.272171,0.118099,0.226667,0.091476,2.143,0.172904
75,0.150808,0.120313,0.428649,0.037919,0.406619,0.603509,0.320896,0.143026,0.212281,0.103357,2.156,0.172904
76,0.147444,0.107263,0.402821,0.02585,0.427807,0.561404,0.320641,0.148663,0.195088,0.10188,2.106,0.172904
77,0.146879,0.124243,0.442751,0.02653,0.4,0.596491,0.314815,0.144471,0.215439,0.104767,2.118,0.172904
78,0.143368,0.10924,0.394576,0.026846,0.405542,0.564912,0.309021,0.144836,0.201754,0.101234,2.118,0.172904
