epoch,train_loss,val_mAP,val_AP50,val_AP75,P50,R50,A50,P5095,R5095,A5095,time_min,best_mAP_so_far
53,0.070933,0.204831,0.526953,0.168317,0.283333,0.533333,0.421053,0.283333,0.226667,0.157033,0.498,0.253051
54,0.070623,0.211056,0.440594,0.267327,0.253846,0.466667,0.333333,0.253846,0.22,0.14328,0.477,0.253051
55,0.088158,0.176485,0.367162,0.20132,0.194118,0.4,0.230769,0.194118,0.22,0.121655,0.485,0.253051
56,0.080422,0.191287,0.534653,0.152475,0.261538,0.533333,0.4,0.261538,0.226667,0.149588,0.471,0.253051
57,0.072032,0.188614,0.488861,0.241584,0.194118,0.533333,0.333333,0.194118,0.22,0.126577,0.553,0.253051
58,0.07672,0.180173,0.449257,0.152475,0.25,0.466667,0.35,0.25,0.2,0.137872,0.55,0.253051
59,0.068446,0.14245,0.339109,0.034653,0.236364,0.4,0.3,0.236364,0.173333,0.12361,0.516,0.253051
60,0.080526,0.18372,0.437624,0.145215,0.154545,0.466667,0.233333,0.154545,0.226667,0.105397,0.484,0.253051
61,0.070179,0.18882,0.457921,0.150165,0.188889,0.466667,0.269231,0.188889,0.226667,0.120127,0.539,0.253051
62,0.073229,0.202558,0.488449,0.173267,0.12069,0.533333,0.222222,0.12069,0.233333,0.091571,0.467,0.253051
63,0.073171,0.142177,0.368514,0.084708,0.055,0.533333,0.119403,0.055,0.22,0.047643,0.463,0.253051
64,0.071478,0.172483,0.440594,0.138614,0.118519,0.466667,0.2,0.118519,0.213333,0.086863,0.574,0.253051
65,0.079227,0.176856,0.344059,0.115512,0.22,0.4,0.25,0.22,0.22,0.131429,0.512,0.253051
66,0.069706,0.179117,0.409461,0.180198,0.155,0.466667,0.25,0.155,0.206667,0.102776,0.492,0.253051
67,0.062622,0.181602,0.424505,0.180198,0.221429,0.466667,0.318182,0.221429,0.206667,0.130682,0.473,0.253051
68,0.072029,0.186879,0.471426,0.139569,0.137931,0.533333,0.222222,0.137931,0.266667,0.104897,0.476,0.253051
69,0.068297,0.200545,0.526953,0.10396,0.3,0.533333,0.444444,0.3,0.22,0.164473,0.64,0.253051
70,0.067662,0.19176,0.520352,0.152475,0.226667,0.533333,0.363636,0.226667,0.226667,0.140002,0.471,0.253051
71,0.063348,0.177479,0.573639,0.148845,0.132143,0.6,0.264706,0.132143,0.246667,0.100159,0.474,0.253051
72,0.065569,0.206931,0.440594,0.168317,0.388889,0.466667,0.411765,0.388889,0.233333,0.191694,0.477,0.253051
73,0.072121,0.190115,0.526953,0.089109,0.223529,0.533333,0.333333,0.223529,0.253333,0.147344,0.474,0.253051
74,0.069013,0.160066,0.421342,0.115512,0.130435,0.466667,0.225806,0.130435,0.2,0.090973,0.655,0.253051
75,0.069367,0.154188,0.442244,0.133663,0.272727,0.466667,0.368421,0.272727,0.2,0.141773,0.48,0.253051
76,0.060053,0.196535,0.452145,0.212871,0.327273,0.466667,0.368421,0.327273,0.24,0.173496,0.457,0.253051
77,0.065379,0.142245,0.462046,0.069307,0.087879,0.533333,0.2,0.087879,0.193333,0.068806,0.461,0.253051
78,0.068392,0.167203,0.449257,0.10396,0.31,0.466667,0.388889,0.31,0.206667,0.15628,0.457,0.253051
