epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1005.26,1.30465,0.95861,1.39342,0.6512,0.28571,0.28904,0.15433,2.39255,3.29919,2.50993,0.0011684,0.0011684,0.0011684
44,1028.55,1.26358,0.88376,1.38379,0.59437,0.42857,0.39132,0.16749,2.50964,2.87539,2.50013,0.0011486,0.0011486,0.0011486
45,1051.79,1.28264,0.90079,1.41854,0.80395,0.28571,0.33271,0.1462,2.50939,2.94005,2.43342,0.0011288,0.0011288,0.0011288
46,1075.06,1.52076,1.05391,1.52753,0.49792,0.2381,0.27251,0.09099,2.62165,3.19885,2.54785,0.001109,0.001109,0.001109
47,1098.35,1.34776,0.95115,1.41122,0.54855,0.38095,0.37744,0.17078,2.4913,2.61964,2.36574,0.0010892,0.0010892,0.0010892
48,1121.64,1.28527,0.93398,1.37067,0.64658,0.47619,0.48324,0.21007,2.3942,2.82826,2.41068,0.0010694,0.0010694,0.0010694
49,1145.08,1.30831,0.96833,1.42403,0.82418,0.33333,0.41283,0.20421,2.4799,2.72732,2.52269,0.0010496,0.0010496,0.0010496
50,1168.39,1.19335,0.81858,1.31915,0.79933,0.47619,0.48282,0.20831,2.57235,2.68778,2.5605,0.0010298,0.0010298,0.0010298
51,1191.66,1.27972,0.87649,1.40825,0.81721,0.42603,0.47525,0.19849,2.55277,2.62103,2.45069,0.00101,0.00101,0.00101
52,1214.91,1.22642,0.86446,1.35789,0.6971,0.38095,0.41974,0.18754,2.4855,2.59964,2.5264,0.0009902,0.0009902,0.0009902
53,1238.21,1.23641,0.81325,1.38571,0.58757,0.47495,0.476,0.19136,2.38582,2.68923,2.38611,0.0009704,0.0009704,0.0009704
54,1261.5,1.23799,0.80456,1.34754,0.65334,0.38095,0.42208,0.17891,2.64773,2.79498,2.76569,0.0009506,0.0009506,0.0009506
55,1284.76,1.21436,0.82993,1.35634,0.91489,0.28571,0.37235,0.17413,2.4826,2.65139,2.54437,0.0009308,0.0009308,0.0009308
56,1308.06,1.25988,0.842,1.36524,0.64174,0.38095,0.39274,0.16603,2.39517,3.02274,2.31021,0.000911,0.000911,0.000911
57,1331.37,1.12919,0.77278,1.29196,1,0.28189,0.39178,0.20187,2.23938,2.86625,2.20537,0.0008912,0.0008912,0.0008912
58,1354.64,1.16381,0.77509,1.30212,0.97463,0.38095,0.48769,0.22433,2.38941,2.62149,2.31225,0.0008714,0.0008714,0.0008714
59,1378.03,1.1631,0.74654,1.29567,0.60475,0.42857,0.41942,0.19025,2.53056,2.5584,2.50567,0.0008516,0.0008516,0.0008516
60,1401.31,1.15145,0.74417,1.31429,0.86213,0.33333,0.4338,0.21314,2.58575,2.77411,2.54786,0.0008318,0.0008318,0.0008318
61,1424.58,1.0821,0.72761,1.27433,0.66116,0.38095,0.43229,0.19339,2.51795,2.64327,2.46626,0.000812,0.000812,0.000812
62,1447.84,1.10196,0.70971,1.28286,0.98164,0.28571,0.42781,0.20971,2.38153,3.06637,2.2902,0.0007922,0.0007922,0.0007922
63,1471.06,1.0519,0.67747,1.24841,0.84657,0.33333,0.40616,0.16391,2.60968,3.29274,2.5456,0.0007724,0.0007724,0.0007724
64,1494.29,1.10536,0.71299,1.25715,0.64189,0.38095,0.37814,0.18217,2.47475,3.16388,2.44041,0.0007526,0.0007526,0.0007526
65,1517.56,1.10224,0.72977,1.27989,0.75401,0.33333,0.37573,0.17103,2.58253,3.25081,2.46483,0.0007328,0.0007328,0.0007328
66,1540.84,1.13967,0.76055,1.30496,0.70293,0.38095,0.36903,0.15935,2.61776,3.22907,2.61768,0.000713,0.000713,0.000713
67,1564.11,1.04135,0.68627,1.21965,0.87307,0.3282,0.4239,0.18912,2.59118,3.11138,2.52137,0.0006932,0.0006932,0.0006932
68,1587.39,1.0083,0.64885,1.21518,0.77211,0.38095,0.47715,0.18297,2.58364,3.06613,2.45809,0.0006734,0.0006734,0.0006734
69,1610.64,0.9999,0.65764,1.21158,0.66473,0.37791,0.42051,0.19058,2.53831,3.59818,2.45946,0.0006536,0.0006536,0.0006536
70,1633.94,1.04859,0.73369,1.20151,0.86247,0.33333,0.40991,0.16846,2.66592,2.88213,2.73466,0.0006338,0.0006338,0.0006338
71,1657.22,1.0319,0.65781,1.21706,0.72086,0.33333,0.45644,0.20274,2.48664,3.03399,2.63833,0.000614,0.000614,0.000614
72,1680.54,1.07017,0.75982,1.26311,0.94435,0.28571,0.41072,0.17033,2.58685,2.92852,2.68851,0.0005942,0.0005942,0.0005942
73,1703.83,0.98657,0.65747,1.22001,0.97317,0.28571,0.38589,0.1781,2.58353,3.42898,2.50317,0.0005744,0.0005744,0.0005744
