epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,26789.5,1.53085,1.07922,1.39523,0.85774,0.79733,0.88365,0.4975,1.43685,0.9288,1.42985,0.0011882,0.0011882,0.0011882
43,27427.3,1.51181,1.05893,1.38212,0.87236,0.79933,0.88594,0.50373,1.43068,0.91301,1.41175,0.0011684,0.0011684,0.0011684
44,958.851,1.52898,1.08894,1.4084,0.86422,0.79633,0.88194,0.49491,1.45049,0.91921,1.43765,0.0011486,0.0011486,0.0011486
45,1598.85,1.4914,1.02628,1.37991,0.87559,0.79918,0.88923,0.50093,1.4378,0.87843,1.43049,0.0011288,0.0011288,0.0011288
46,2237.86,1.47144,1.00259,1.36399,0.87939,0.8069,0.89237,0.51856,1.38828,0.85743,1.40031,0.001109,0.001109,0.001109
47,2880.01,1.46346,0.99841,1.35291,0.86744,0.81533,0.89548,0.50595,1.4258,0.88015,1.41247,0.0010892,0.0010892,0.0010892
48,3519.38,1.45025,0.96801,1.34773,0.87811,0.816,0.89923,0.52091,1.39625,0.85003,1.41269,0.0010694,0.0010694,0.0010694
49,4159.12,1.43085,0.94785,1.34081,0.88496,0.8257,0.90437,0.52547,1.40028,0.83074,1.39406,0.0010496,0.0010496,0.0010496
50,4798.84,1.42955,0.95792,1.33562,0.88493,0.8254,0.90545,0.5402,1.34651,0.82693,1.36841,0.0010298,0.0010298,0.0010298
51,5438.67,1.39481,0.92893,1.31026,0.88811,0.84838,0.91546,0.55235,1.31673,0.79293,1.34205,0.00101,0.00101,0.00101
52,6078.41,1.38817,0.91546,1.31594,0.9035,0.826,0.91405,0.543,1.35501,0.80213,1.3674,0.0009902,0.0009902,0.0009902
53,6718.58,1.38241,0.91323,1.3078,0.89972,0.84444,0.91827,0.55314,1.3278,0.78589,1.35024,0.0009704,0.0009704,0.0009704
54,7359.04,1.35335,0.88728,1.28822,0.8958,0.85778,0.92106,0.55765,1.32527,0.77022,1.34828,0.0009506,0.0009506,0.0009506
55,7999.79,1.35882,0.88305,1.29362,0.90863,0.85,0.92678,0.56948,1.2964,0.74678,1.33325,0.0009308,0.0009308,0.0009308
56,8639.99,1.32713,0.85648,1.26888,0.90405,0.85215,0.92334,0.56548,1.30261,0.74646,1.33485,0.000911,0.000911,0.000911
57,9280.25,1.31987,0.85501,1.26472,0.89535,0.86489,0.92901,0.56434,1.30327,0.74443,1.33035,0.0008912,0.0008912,0.0008912
58,9921.03,1.33082,0.85455,1.2735,0.90795,0.86267,0.93138,0.57379,1.298,0.73195,1.32745,0.0008714,0.0008714,0.0008714
59,10561.9,1.29854,0.84091,1.25868,0.91192,0.86756,0.93331,0.57627,1.28711,0.72143,1.3194,0.0008516,0.0008516,0.0008516
60,11202.7,1.28829,0.82517,1.24857,0.91157,0.86844,0.93423,0.58745,1.25959,0.71262,1.29951,0.0008318,0.0008318,0.0008318
61,11843.5,1.28899,0.82501,1.25368,0.90946,0.88067,0.93677,0.59159,1.24652,0.70265,1.2959,0.000812,0.000812,0.000812
62,12484.4,1.26867,0.8101,1.22993,0.91282,0.87252,0.93548,0.59045,1.24998,0.69928,1.29668,0.0007922,0.0007922,0.0007922
63,13125,1.23684,0.78634,1.22007,0.92031,0.87515,0.93915,0.59359,1.26069,0.69748,1.30278,0.0007724,0.0007724,0.0007724
64,13766,1.22685,0.76512,1.21919,0.92301,0.87922,0.94043,0.58885,1.2674,0.68819,1.30357,0.0007526,0.0007526,0.0007526
65,14406.8,1.22683,0.7701,1.21768,0.9236,0.87889,0.94071,0.59514,1.24664,0.67695,1.29189,0.0007328,0.0007328,0.0007328
66,15047.9,1.21418,0.76149,1.20583,0.93264,0.87995,0.94382,0.60995,1.21475,0.65985,1.27251,0.000713,0.000713,0.000713
67,15688.8,1.19476,0.74454,1.19305,0.92969,0.88741,0.94402,0.60686,1.21873,0.65627,1.26921,0.0006932,0.0006932,0.0006932
68,16329.6,1.19081,0.73843,1.20031,0.93515,0.87798,0.94493,0.60958,1.21622,0.66509,1.27071,0.0006734,0.0006734,0.0006734
69,16970.2,1.1674,0.72687,1.1798,0.92999,0.88262,0.94435,0.61434,1.20807,0.65006,1.26627,0.0006536,0.0006536,0.0006536
70,17611.2,1.15827,0.7161,1.17547,0.92374,0.89371,0.94534,0.60963,1.21725,0.64857,1.26759,0.0006338,0.0006338,0.0006338
71,18252,1.15417,0.7108,1.17305,0.92877,0.89243,0.94904,0.61887,1.20211,0.64492,1.25986,0.000614,0.000614,0.000614
72,18893,1.13753,0.70682,1.16692,0.92501,0.89711,0.9487,0.61706,1.19695,0.63714,1.2555,0.0005942,0.0005942,0.0005942
73,19533.7,1.13872,0.69877,1.1635,0.93644,0.89051,0.94873,0.61892,1.19484,0.63479,1.25953,0.0005744,0.0005744,0.0005744
74,20174.6,1.11816,0.69748,1.15641,0.93948,0.89006,0.95106,0.62236,1.18703,0.63439,1.24887,0.0005546,0.0005546,0.0005546
75,20815.5,1.10833,0.69231,1.15017,0.93951,0.89396,0.95095,0.62692,1.18329,0.63497,1.24416,0.0005348,0.0005348,0.0005348
76,21456.5,1.11468,0.69351,1.14834,0.93164,0.90133,0.95265,0.63351,1.16333,0.62275,1.23077,0.000515,0.000515,0.000515
77,22097.2,1.08321,0.67418,1.13495,0.93314,0.898,0.95346,0.62659,1.17617,0.62437,1.24507,0.0004952,0.0004952,0.0004952
78,22737.8,1.07706,0.66785,1.13431,0.93324,0.90392,0.95466,0.63182,1.16692,0.61339,1.23615,0.0004754,0.0004754,0.0004754
79,23378.9,1.05598,0.65538,1.11946,0.94072,0.89927,0.95422,0.63198,1.16379,0.6093,1.23628,0.0004556,0.0004556,0.0004556
80,24020,1.0509,0.64435,1.1109,0.93775,0.90289,0.95253,0.63208,1.16695,0.60877,1.2358,0.0004358,0.0004358,0.0004358
81,24661.2,1.052,0.65635,1.12345,0.94879,0.89352,0.95391,0.6346,1.15966,0.60622,1.23455,0.000416,0.000416,0.000416
82,25302.5,1.04293,0.63439,1.11791,0.93529,0.90444,0.95444,0.63816,1.14909,0.60561,1.22635,0.0003962,0.0003962,0.0003962
83,25943.7,1.03437,0.63817,1.10933,0.93854,0.90644,0.95725,0.63986,1.14865,0.59807,1.2214,0.0003764,0.0003764,0.0003764
84,26585.1,1.05498,0.64728,1.12001,0.94452,0.90049,0.95566,0.64263,1.13211,0.59615,1.21488,0.0003566,0.0003566,0.0003566
85,27226.3,1.01826,0.62348,1.09811,0.94593,0.90222,0.9565,0.64295,1.1323,0.59298,1.21532,0.0003368,0.0003368,0.0003368
86,27867.5,1.01216,0.62014,1.09609,0.94209,0.90738,0.95702,0.64529,1.1314,0.59429,1.21326,0.000317,0.000317,0.000317
87,1169.83,1.01309,0.63203,1.10006,0.94328,0.90919,0.95815,0.64681,1.1243,0.59164,1.20868,0.0002972,0.0002972,0.0002972
88,1812.73,0.99737,0.60719,1.09091,0.94788,0.9053,0.95754,0.64848,1.12293,0.59138,1.20931,0.0002774,0.0002774,0.0002774
89,2452.7,0.97367,0.59759,1.07716,0.95012,0.90167,0.95705,0.64992,1.12332,0.58827,1.20825,0.0002576,0.0002576,0.0002576
90,3092.74,0.96781,0.60293,1.07438,0.95105,0.90234,0.95676,0.64947,1.11882,0.58569,1.207,0.0002378,0.0002378,0.0002378
91,3732.08,0.99022,0.58574,1.13228,0.94878,0.90333,0.95548,0.64858,1.12532,0.58627,1.20897,0.000218,0.000218,0.000218
92,4369.94,0.95171,0.56542,1.11493,0.95188,0.90489,0.95735,0.64974,1.12232,0.58223,1.2052,0.0001982,0.0001982,0.0001982
93,5008.86,0.94598,0.56226,1.10872,0.95619,0.90211,0.9569,0.65321,1.11019,0.57828,1.19855,0.0001784,0.0001784,0.0001784
94,5646.92,0.9254,0.54981,1.10225,0.95095,0.90471,0.95611,0.65299,1.11319,0.57968,1.2021,0.0001586,0.0001586,0.0001586
95,6285.66,0.91367,0.54383,1.08967,0.95671,0.90356,0.9573,0.65268,1.11576,0.57793,1.20317,0.0001388,0.0001388,0.0001388
96,6924.1,0.90048,0.5405,1.08337,0.95675,0.90222,0.9583,0.65194,1.12149,0.57966,1.20463,0.000119,0.000119,0.000119
97,7562.76,0.90273,0.5351,1.08958,0.95597,0.9023,0.9575,0.6519,1.12003,0.57885,1.20374,9.92e-05,9.92e-05,9.92e-05
98,8199.82,0.88049,0.52879,1.07268,0.95765,0.90333,0.95777,0.65161,1.12274,0.57845,1.20458,7.94e-05,7.94e-05,7.94e-05
99,8838.42,0.88733,0.53169,1.07753,0.95939,0.90303,0.95844,0.65118,1.12348,0.57744,1.20526,5.96e-05,5.96e-05,5.96e-05
100,9477.03,0.88327,0.52844,1.06864,0.95804,0.904,0.95881,0.65157,1.11984,0.57529,1.20262,3.98e-05,3.98e-05,3.98e-05
